at least £10000, 759
at least £20000, 756
at least £30000, 741
at least £40000, 713
at least £50000, 668
at least £60000, 609
at least £70000, 513
at least £80000, 433
at least £90000, 343
at least £100000, 281

price_range,number,calculation
£10000-£20000,3,(759-756)
£20000-£30000,15,(756-741)
£30000-£40000,28,(741-713)
£40000-£50000,45,(713-668)
£50000-£60000,59,(668-609)
£60000-£70000,96,(609-513)
£70000-£80000,80,(513-433)
£80000-£90000,90,(433-343)
£90000-£100000,62,(343-281)
£100000+,281,(281)